Date,Ventes_prévues,Période_dattes,Effet_Ramadan,Poids_dattes
2025-06-01,164.76,False,Éloigné,1.0
2025-06-02,163.71,False,Éloigné,1.0
2025-06-03,163.63,False,Éloigné,1.0
2025-06-04,162.79,False,Éloigné,1.0
2025-06-05,162.48,False,Éloigné,1.0
2025-06-06,162.11,False,Éloigné,1.0
2025-06-07,160.94,False,Éloigné,1.0
2025-06-08,161.0,False,Éloigné,1.0
2025-06-09,159.81,False,Éloigné,1.0
2025-06-10,161.7,False,Éloigné,1.0
2025-06-11,162.8,False,Éloigné,1.0
2025-06-12,162.71,False,Éloigné,1.0
2025-06-13,162.67,False,Éloigné,1.0
2025-06-14,162.44,False,Éloigné,1.0
2025-06-15,160.99,False,Éloigné,1.0
2025-06-16,161.31,False,Éloigné,1.0
2025-06-17,161.77,False,Éloigné,1.0
2025-06-18,161.97,False,Éloigné,1.0
2025-06-19,162.08,False,Éloigné,1.0
2025-06-20,161.95,False,Éloigné,1.0
2025-06-21,162.14,False,Éloigné,1.0
2025-06-22,161.82,False,Éloigné,1.0
2025-06-23,161.49,False,Éloigné,1.0
2025-06-24,161.44,False,Éloigné,1.0
2025-06-25,162.13,False,Éloigné,1.0
2025-06-26,162.83,False,Éloigné,1.0
2025-06-27,162.97,False,Éloigné,1.0
2025-06-28,163.34,False,Éloigné,1.0
2025-06-29,164.22,False,Éloigné,1.0
2025-06-30,163.67,False,Éloigné,1.0
2025-07-01,163.52,False,Éloigné,1.0
2025-07-02,163.46,False,Éloigné,1.0
2025-07-03,162.5,False,Éloigné,1.0
2025-07-04,162.47,False,Éloigné,1.0
2025-07-05,162.63,False,Éloigné,1.0
2025-07-06,162.43,False,Éloigné,1.0
2025-07-07,162.02,False,Éloigné,1.0
2025-07-08,160.98,False,Éloigné,1.0
2025-07-09,160.64,False,Éloigné,1.0
2025-07-10,159.1,False,Éloigné,1.0
2025-07-11,161.03,False,Éloigné,1.0
2025-07-12,161.88,False,Éloigné,1.0
2025-07-13,161.83,False,Éloigné,1.0
2025-07-14,161.67,False,Éloigné,1.0
2025-07-15,161.82,False,Éloigné,1.0
2025-07-16,160.95,False,Éloigné,1.0
2025-07-17,161.12,False,Éloigné,1.0
2025-07-18,161.68,False,Éloigné,1.0
2025-07-19,162.07,False,Éloigné,1.0
2025-07-20,162.65,False,Éloigné,1.0
2025-07-21,162.67,False,Éloigné,1.0
2025-07-22,162.82,False,Éloigné,1.0
2025-07-23,162.64,False,Éloigné,1.0
2025-07-24,161.03,False,Éloigné,1.0
2025-07-25,160.77,False,Éloigné,1.0
2025-07-26,161.76,False,Éloigné,1.0
2025-07-27,162.41,False,Éloigné,1.0
2025-07-28,162.3,False,Éloigné,1.0
2025-07-29,162.82,False,Éloigné,1.0
2025-07-30,163.69,False,Éloigné,1.0
2025-07-31,163.47,False,Éloigné,1.0
2025-08-01,162.14,False,Éloigné,1.0
2025-08-02,162.06,False,Éloigné,1.0
2025-08-03,160.81,False,Éloigné,1.0
2025-08-04,160.77,False,Éloigné,1.0
2025-08-05,160.9,False,Éloigné,1.0
2025-08-06,159.85,False,Éloigné,1.0
2025-08-07,159.53,False,Éloigné,1.0
2025-08-08,158.76,False,Éloigné,1.0
2025-08-09,158.86,False,Éloigné,1.0
2025-08-10,157.33,False,Éloigné,1.0
2025-08-11,159.15,False,Éloigné,1.0
2025-08-12,160.2,False,Éloigné,1.0
2025-08-13,160.36,False,Éloigné,1.0
2025-08-14,160.22,False,Éloigné,1.0
2025-08-15,160.44,False,Éloigné,1.0
2025-08-16,159.32,False,Éloigné,1.0
2025-08-17,159.44,False,Éloigné,1.0
2025-08-18,160.72,False,Éloigné,1.0
2025-08-19,161.27,False,Éloigné,1.0
2025-08-20,161.24,False,Éloigné,1.0
2025-08-21,160.75,False,Éloigné,1.0
2025-08-22,160.62,False,Éloigné,1.0
2025-08-23,160.77,False,Éloigné,1.0
2025-08-24,159.98,False,Éloigné,1.0
2025-08-25,160.87,False,Éloigné,1.0
2025-08-26,161.49,False,Éloigné,1.0
2025-08-27,162.18,False,Éloigné,1.0
2025-08-28,162.29,False,Éloigné,1.0
2025-08-29,162.47,False,Éloigné,1.0
2025-08-30,162.92,False,Éloigné,1.0
2025-08-31,162.54,False,Éloigné,1.0
2025-09-01,164.75,False,Éloigné,1.0
2025-09-02,165.5,True,Éloigné,1.0166666666666666
2025-09-03,168.6,True,Éloigné,1.0333333333333334
2025-09-04,171.28,True,Éloigné,1.05
2025-09-05,174.76,True,Éloigné,1.0666666666666667
2025-09-06,177.31,True,Éloigné,1.0833333333333333
2025-09-07,178.58,True,Éloigné,1.1
2025-09-08,181.57,True,Éloigné,1.1166666666666667
2025-09-09,182.47,True,Éloigné,1.1333333333333333
2025-09-10,187.42,True,Éloigné,1.15
2025-09-11,185.73,True,Éloigné,1.1666666666666667
2025-09-12,188.39,True,Éloigné,1.1833333333333333
2025-09-13,190.99,True,Éloigné,1.2
2025-09-14,194.18,True,Éloigné,1.2166666666666668
2025-09-15,195.34,True,Éloigné,1.2333333333333334
2025-09-16,198.42,True,Éloigné,1.25
2025-09-17,201.58,True,Éloigné,1.2666666666666666
2025-09-18,203.64,True,Éloigné,1.2833333333333332
2025-09-19,206.73,True,Éloigné,1.3
2025-09-20,209.19,True,Éloigné,1.3166666666666667
2025-09-21,211.56,True,Éloigné,1.3333333333333333
2025-09-22,215.3,True,Éloigné,1.35
2025-09-23,217.56,True,Éloigné,1.3666666666666667
2025-09-24,217.79,True,Éloigné,1.3833333333333333
2025-09-25,221.27,True,Éloigné,1.4
2025-09-26,225.33,True,Éloigné,1.4166666666666667
2025-09-27,228.16,True,Éloigné,1.4333333333333333
2025-09-28,231.36,True,Éloigné,1.45
2025-09-29,234.77,True,Éloigné,1.4666666666666668
2025-09-30,237.31,True,Éloigné,1.4833333333333334
2025-10-01,157.51,False,Éloigné,1.0
2025-10-02,161.54,True,Éloigné,1.0166666666666666
2025-10-03,163.4,True,Éloigné,1.0333333333333334
2025-10-04,165.88,True,Éloigné,1.05
2025-10-05,169.51,True,Éloigné,1.0666666666666667
